lganame,councilnam,suburbname,postcode,percentage,,,,LGA_WRONG,,FIX,LGA_NEIGHBOR_WRONG
CENTRAL COAST,CENTRAL COAST COUNCIL,GUNDERMAN,2775,99.99999998,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,GWANDALAN,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,HALEKULANI,2262,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,HALLORAN,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,HAMLYN TERRACE,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,HARDYS BAY,2257,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,HOLGATE,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,HORSFIELD BAY,2256,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,JILLIBY,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KANGY ANGY,2258,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KANWAL,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KARIONG,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KIAR,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KILLARNEY VALE,2261,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KILLCARE,2257,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KILLCARE HEIGHTS,2257,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KINCUMBER,2251,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KINCUMBER SOUTH,2251,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KINGFISHER SHORES,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KOOLEWONG,2256,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,KULNURA,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,LAKE HAVEN,2263,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,LAKE MACQUARIE,2259,3.84658E-05,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,LAKE MUNMORAH,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,LEMON TREE,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,LISAROW,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,LITTLE JILLIBY,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,LITTLE WOBBY,2256,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,LONG JETTY,2261,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,LOWER MANGROVE,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MACMASTERS BEACH,2251,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MAGENTA,2261,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MANGROVE CREEK,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MANGROVE MOUNTAIN,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MANNERING PARK,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MARDI,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MARLOW,2775,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MATCHAM,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MOONEE,2259,11.96588263,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MOONEY MOONEY,2083,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MOONEY MOONEY CREEK,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MOUNT ELLIOT,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,MOUNT WHITE,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,NARARA,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,NIAGARA PARK,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,NORAH HEAD,2263,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,NORAVILLE,2263,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,NORTH AVOCA,2260,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,NORTH GOSFORD,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,OURIMBAH,2258,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,PALM GROVE,2258,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,PALMDALE,2258,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,PATONGA,2256,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,PEARL BEACH,2256,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,PEATS RIDGE,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,PHEGANS BAY,2256,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,PICKETTS VALLEY,2251,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,POINT CLARE,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,POINT FREDERICK,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,POINT WOLSTONCROFT,2259,99.99718633,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,PRETTY BEACH,2257,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,RAVENSDALE,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,ROCKY POINT,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,SAN REMO,2262,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,SARATOGA,2251,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,SHELLY BEACH,2261,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,SOMERSBY,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,SPENCER,2775,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,SPRINGFIELD,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,ST HUBERTS ISLAND,2257,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,SUMMERLAND POINT,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TACOMA,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TACOMA SOUTH,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TASCOTT,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TEN MILE HOLLOW,2250,45.12635014,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TERRIGAL,2260,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,THE ENTRANCE,2261,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,THE ENTRANCE NORTH,2261,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TOOWOON BAY,2261,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TOUKLEY,2263,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TUGGERAH,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TUGGERAWONG,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,TUMBI UMBI,2261,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,UMINA BEACH,2257,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,UPPER MANGROVE,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WADALBA,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WAGSTAFFE,2257,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WALLARAH,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WAMBERAL,2260,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WARNERVALE,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WATANOBBI,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WENDOREE PARK,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WEST GOSFORD,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WISEMANS FERRY,2775,8.616571641,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WONDABYNE,2256,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WOONGARRAH,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WOY WOY,2256,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WOY WOY BAY,2256,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WYBUNG,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WYOMING,2250,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WYONG,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WYONG CREEK,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,WYONGAH,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,YARRAMALONG,2259,100,,,,,,,
CENTRAL COAST,CENTRAL COAST COUNCIL,YATTALUNGA,2251,100,,,,,,,
CENTRAL DARLING,CENTRAL DARLING SHIRE COUNCIL,IVANHOE,2878,91.95701963,,,,,,,
CENTRAL DARLING,CENTRAL DARLING SHIRE COUNCIL,MENINDEE,2879,84.0463494,,,,,,,
CENTRAL DARLING,CENTRAL DARLING SHIRE COUNCIL,MOSSGIEL,2878,23.66907326,,,,,,,
CENTRAL DARLING,CENTRAL DARLING SHIRE COUNCIL,SUNSET STRIP,2879,100,,,,,,,
CENTRAL DARLING,CENTRAL DARLING SHIRE COUNCIL,TILPA,2840,43.61286731,,,,,,,
CENTRAL DARLING,CENTRAL DARLING SHIRE COUNCIL,WHITE CLIFFS,2836,37.1581915,,,,,,,
CENTRAL DARLING,CENTRAL DARLING SHIRE COUNCIL,WILCANNIA,2836,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,ABERDARE,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,ABERMAIN,2326,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,ABERNETHY,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,ALLANDALE,2320,59.12281187,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,BELLBIRD,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,BELLBIRD HEIGHTS,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,BISHOPS BRIDGE,2326,55.68871675,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,BLACK HILL,2322,69.3667402,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,BRANXTON,2335,16.8639568,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,BRUNKERVILLE,2323,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,BUCHANAN,2323,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,BUCKETTY,2250,71.1227417,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,BUTTAI,2323,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,CEDAR CREEK,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,CESSNOCK,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,CLIFTLEIGH,2321,74.69911776,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,CONGEWAI,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,CORRABARE,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,DAIRY ARM,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,EAST BRANXTON,2335,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,ELLALONG,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,ELRINGTON,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,FERNANCES CROSSING,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,GRETA,2334,95.98328153,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,GRETA MAIN,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,HEDDON GRETA,2321,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,KEARSLEY,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,KEINBAH,2320,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,KITCHENER,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,KURRI KURRI,2327,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,LAGUNA,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,LOCHINVAR,2321,7.480921041,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,LOVEDALE,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,LOXFORD,2326,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,MILLFIELD,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,MOUNT VIEW,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,MOUNT VINCENT,2323,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,MULBRING,2323,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,MURRAYS RUN,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,NEATH,2326,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,NORTH ROTHBURY,2335,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,NULKABA,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,OLNEY,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,PAXTON,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,PAYNES CROSSING,2325,40.32257307,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,PELAW MAIN,2327,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,PELTON,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,POKOLBIN,2320,80.89406371,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,QUORROBOLONG,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,RICHMOND VALE,2323,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,ROTHBURY,2320,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,SAWYERS GULLY,2326,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,STANFORD MERTHYR,2327,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,STOCKRINGTON,2322,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,SWEETMANS CREEK,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,WATAGAN,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,WESTON,2326,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,WOLLOMBI,2325,100,,,,,,,
CESSNOCK,CESSNOCK CITY COUNCIL,YENGO NATIONAL PARK,2325,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,AUBURN,2144,0.611893506,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,BAULKHAM HILLS,2153,1.731238437,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,BEECROFT,2119,22.77553119,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,CAMELLIA,2142,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,CARLINGFORD,2118,99.17717801,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,CHELTENHAM,2119,3.252702739,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,CLYDE,2142,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,CONSTITUTION HILL,2145,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,DUNDAS,2117,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,DUNDAS VALLEY,2117,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,EASTWOOD,2122,22.24630874,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,EPPING,2121,99.41610458,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,ERMINGTON,2115,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,GRANVILLE,2142,29.74480113,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,HARRIS PARK,2150,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,HOLROYD,2142,10.36138448,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,LIDCOMBE,2141,9.423793207,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,MAYS HILL,2145,31.94822869,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,MELROSE PARK,2114,46.60974292,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,MERRYLANDS,2160,0.36204586,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,NEWINGTON,2127,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,NORTH PARRAMATTA,2151,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,NORTH ROCKS,2151,85.68502734,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,NORTHMEAD,2152,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,OATLANDS,2117,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,OLD TOONGABBIE,2146,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,PARRAMATTA,2150,99.99123442,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,PENDLE HILL,2145,34.17394588,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,ROSEHILL,2142,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,RYDALMERE,2116,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,SEVEN HILLS,2147,1.442515278,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,SILVERWATER,2128,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,SYDNEY OLYMPIC PARK,2127,95.68406037,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,TELOPEA,2117,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,TOONGABBIE,2146,51.81931607,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,WENTWORTH POINT,2127,100,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,WENTWORTHVILLE,2145,38.88695776,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,WEST PENNANT HILLS,2125,0.008887956,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,WESTMEAD,2145,52.58635836,,,,,,,
CITY OF PARRAMATTA,CITY OF PARRAMATTA COUNCIL,WINSTON HILLS,2153,95.00207509,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,ALICE,2469,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,ALUMY CREEK,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,ANGOURIE,2464,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,ASHBY,2463,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,ASHBY HEIGHTS,2463,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,ASHBY ISLAND,2463,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BANYABBA,2460,95.58970606,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BARCOONGERE,2460,60.72647883,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BARRETTS CREEK,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BARYULGIL,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BILLYS CREEK,2453,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BLAXLANDS CREEK,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BOM BOM,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BOOKRAM,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BRAUNSTONE,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BROOMS HEAD,2463,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BRUSHGROVE,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BUCCARUMBI,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BULLDOG,2469,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,BUSBYS FLAT,2469,5.156958038,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CALAMIA,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CALLIOPE,2462,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CANGAI,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CARNHAM,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CARRS CREEK,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CARRS ISLAND,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CARRS PENINSULA,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CHAELUNDI,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CHAMBIGNE,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CHATSWORTH,2469,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CLARENZA,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CLIFDEN,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CLOUDS CREEK,2453,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,COALDALE,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,COLDSTREAM,2462,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,COLLUM COLLUM,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,COOMBADJHA,2460,93.72290598,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,COONGBAR,2469,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,COPMANHURST,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,COUTTS CROSSING,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,COWPER,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,CROWTHER ISLAND,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,DALMORTON,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,DEEP CREEK,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,DEEP CREEK,2469,0.095831522,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,DIGGERS CAMP,2462,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,DILKOON,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,DIRTY CREEK,2456,13.5737031,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,DUMBUDGERY,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,DUNDURRABIN,2453,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,EATONSVILLE,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,EIGHTEEN MILE,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,ELLAND,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,ESK,2472,35.19698278,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,EWINGAR,2469,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,FINE FLOWER,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,FORTIS CREEK,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,FREEBURN ISLAND,2464,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,GIBBERAGEE,2469,31.51247255,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,GILLETTS RIDGE,2462,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,GLENREAGH,2450,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,GLENUGIE,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,GOODWOOD ISLAND,2469,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,GRAFTON,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,GREAT MARLOW,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,GULMARRAD,2463,99.9999997,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,GURRANANG,2460,100,,,,,,,
CLARENCE VALLEY,CLARENCE VALLEY COUNCIL,HALFWAY CREEK,2460,95.73340276,,,,,,,
